num,ID,Sample,Species,origin,lat,long,pop,region
138,6202C2,2_6B,Calamagrostis stricta ssp inexpansa,Wild,62.66019,-115.30746,"Yellowknife, NT; YK-4",YK
139,10UNC,2_6C,Calamagrostis canadensis,Commercial,,,10UNC,UN
140,10MNC,2_6D,Calamagrostis canadensis,Commercial,,,10MNC,MN
141,6225C1,2_6E,Calamagrostis canadensis,Wild,62.78052,-116.01386,"Behchokǫ̀, NT;",BE
142,6027C,2_6F,Calamagrostis sp,Wild,,,6027C,
143,6056C,2_6G,Calamagrostis stricta ssp inexpansa,Wild,69.18349,-134.84167,"Mackenzie Delta/uplands, NT; Unknown Slump 1",MD
144,12UNC,2_6H,Calamagrostis canadensis,Commercial,,,12UNC,UN
145,10AKC,2_7A,Calamagrostis canadensis,Commercial,,,10AKC,AK
146,6130C1,2_7B,Calamagrostis stricta ssp inexpansa,Wild,69.44182,-134.59932,"Mackenzie Delta/uplands, NT; C4- COAST",MD
147,200712C2,2_7C,Calamagrostis canadensis,Wild,60.33197,-123.31073,"Liard, NT; LRDN2",LD
148,200735C2,2_7D,Calamagrostis canadensis,Wild,61.40034,-120.58364,"Jean Marie River, NT; JM2",JM
149,19MNC,2_7E,Calamagrostis canadensis,Commercial,,,19MNC,MN
150,6071C2,2_7F,Calamagrostis stricta ssp inexpansa,Wild,68.60849,-133.59048,"Mackenzie Delta/uplands, NT; Jimmy Lake JLSL2",MD
151,6130C2,2_7G,Calamagrostis stricta ssp inexpansa,Wild,69.44182,-134.59932,"Mackenzie Delta/uplands, NT; C4- COAST",MD
152,,2_7H,,,,,,
153,6069C3,2_8A,Calamagrostis canadensis,Wild,68.60812,-133.58481,"Mackenzie Delta/uplands, NT; Jimmy Lake JLSL1- T4",MD
154,200750C2,2_8B,Calamagrostis stricta ssp inexpansa,Wild,61.03348,-113.6888,"Fort Resolution, NT; FR2",FR
155,6116C2,2_8C,Calamagrostis stricta ssp inexpansa,Wild,,,"Inuvik, NT; Ski Trails",IK
156,2UTC,2_8D,Calamagrostis canadensis,Commercial,,,2UTC,UT
157,6087C2,2_8E,Calamagrostis canadensis,Wild,68.51524,-133.65129,"Mackenzie Delta/uplands, NT; Noel Lake NLSL3",MD
158,6211C,2_8F,Calamagrostis purpurascens,Wild,62.61879,-116.26239,"Behchokǫ̀, NT;",BE
159,200758C,2_8G,Calamagrostis sp,Wild,,,200758C,
160,19COC,2_8H,Calamagrostis canadensis,Commercial,,,19COC,CO
161,59COC2,2_9A,Calamagrostis canadensis,Commercial,,,59COC2,CO
162,200788C2,2_9B,Calamagrostis canadensis,Wild,61.35377,-113.41176,"Fort Resolution, NT; FR19",FR
163,6022C2,2_9C,Calamagrostis stricta ssp inexpansa,Wild,68.95557,-133.83975,"Mackenzie Delta/uplands, NT; Parson's Lake AKSL3",MD
164,11AKC,2_9D,Calamagrostis canadensis,Commercial,,,11AKC,AK
165,11MNC,2_9E,Calamagrostis canadensis,Commercial,,,11MNC,MN
166,6090C,2_9F,Calamagrostis canadensis,Wild,68.3623,-133.75005,"Inuvik, NT; Old Airport",IK
167,1PAC,2_9G,Calamagrostis canadensis,Commercial,,,1PAC,PA
168,200764C,2_9H,Calamagrostis sp,Wild,,,200764C,
169,6225C2,2_10A,Calamagrostis canadensis,Wild,62.78052,-116.01386,"Behchokǫ̀, NT;",BE
